id,url,status,startTime,endTime,eventsFound,errorMessage,createdAt,updatedAt
job-1759157755414-3iwndya18,https://swiss-congress.ch,COMPLETED,2025-09-29T14:55:55.419Z,2025-09-29T14:56:04.090Z,0,,2025-09-29T14:55:55.414Z,2025-09-29T14:56:04.091Z
job-1759157795383-8m9es9rkd,https://swiss-congress.ch,COMPLETED,2025-09-29T14:56:35.383Z,2025-09-29T14:56:39.640Z,0,,2025-09-29T14:56:35.383Z,2025-09-29T14:56:39.642Z
